Drug1,Drug2,Severity,InteractionType,Description,Mechanism,Recommendation,SpacingEffectiveness,Alternatives,MonitoringAdvice
Aspirin,Ibuprofen,danger,pharmacodynamic,Increased risk of gastrointestinal bleeding,Both medications inhibit COX enzymes and platelet aggregation,AVOID this combination if possible. If unavoidable under doctor supervision, use lowest effective doses.,low,"Use acetaminophen (Tylenol) for pain relief instead of ibuprofen","Watch for black/tarry stools, coffee ground vomit, easy bruising"
Aspirin,Warfarin,danger,pharmacodynamic,Significantly increased bleeding risk,Both affect clotting through different pathways,AVOID this combination unless specifically prescribed by doctor with close monitoring.,none,"Consider alternative antiplatelet therapy under doctor guidance","Monitor INR closely; watch for bleeding signs"
Ibuprofen,Warfarin,danger,pharmacodynamic,Increased bleeding risk,NSAIDs increase bleeding risk and can cause gastric ulcers,AVOID this combination. Use acetaminophen for pain instead.,low,"Acetaminophen is safer for pain relief","Monitor for bleeding; consider PPI for stomach protection"
Metformin,Lisinopril,warning,pharmacokinetic,May increase risk of hypoglycemia,Lisinopril can enhance glucose-lowering effects,Monitor blood sugar levels closely when starting this combination.,medium,"Alternative BP meds may have less effect on glucose","Check blood sugar more frequently, especially after meals"
Amoxicillin,Warfarin,warning,pharmacokinetic,May increase warfarin effect and bleeding risk,Antibiotics alter gut flora affecting vitamin K production,Monitor INR more frequently during antibiotic therapy.,not_applicable,"Alternative antibiotics may have less interaction","Check INR within 3-5 days of starting antibiotic"
Simvastatin,Amiodarone,danger,pharmacokinetic,Increased risk of muscle damage (rhabdomyolysis),Amiodarone inhibits CYP3A4 enzyme increasing statin levels,AVOID this combination. Use alternative statin (pravastatin/rosuvastatin).,not_applicable,"Pravastatin or rosuvastatin are safer alternatives","Monitor for muscle pain, weakness; check CK levels"
Sildenafil,Nitroglycerin,danger,pharmacodynamic,Severe hypotension and cardiovascular collapse,Both are vasodilators causing synergistic blood pressure drop,ABSOLUTE CONTRAINDICATION - do not use within 24-48 hours.,not_applicable,"For ED: tadalafil also contraindicated; discuss non-nitrate options","Seek emergency care if chest pain occurs after taking"
Levothyroxine,Calcium,warning,pharmacokinetic,Reduced thyroid hormone absorption,Calcium binds to levothyroxine in the gut,Separate doses by at least 4 hours.,high,"Take calcium at bedtime if levothyroxine is morning","Check TSH levels 6-8 weeks after changing schedule"
Digoxin,Furosemide,warning,pharmacodynamic,Increased risk of digoxin toxicity,Diuretic-induced hypokalemia increases digoxin sensitivity,Monitor potassium levels and digoxin levels.,medium,"Consider potassium-sparing diuretics","Check potassium and digoxin levels regularly"
Clopidogrel,Omeprazole,warning,pharmacokinetic,Reduced antiplatelet effect,Omeprazole inhibits CYP2C19 needed to activate clopidogrel,Consider alternative PPI (pantoprazole) or H2 blocker.,not_applicable,"Pantoprazole, famotidine, or ranitidine have less interaction","Monitor for cardiovascular events; consider platelet function testing"
